accel,gyro,miclevel,Label
"0.7107780575752258,0.5631952881813049,0.14391803741455078","0.8570061922073364,-0.03482548147439957,-1.0284571647644043","-19.14837646484375,-27.94614601135254",Walking
"0.7084718346595764,0.5804175138473511,0.15633165836334229","0.5658705234527588,-0.2305379956960678,-0.24377919733524323","-20.2629337310791,-29.580347061157227",Walking
"0.6779477000236511,0.5692050457000732,0.14516866207122803","0.1510852724313736,-0.15989604592323303,0.5350441336631775","-20.820213317871094,-29.931575775146484",Walking
"0.6586624383926392,0.5535323023796082,0.1315922737121582","-0.03074071742594242,-0.07128255814313889,0.8565995097160339","-21.934770584106445,-30.773197174072266",Walking
"0.6558613181114197,0.5342299938201904,0.11868929862976074","-0.32430949807167053,0.16624636948108673,1.4565171003341675","-20.631507873535156,-23.851558685302734",Walking
"0.6323406100273132,0.5636844635009766,0.1185382604598999","-0.6527427434921265,0.4210890531539917,2.255645275115967","-20.631507873535156,-24.067752838134766",Walking
"0.5868026614189148,0.596915602684021,0.11988639831542969","-0.8324466943740845,0.5048657059669495,2.653146505355835","-19.24216651916504,-19.5202579498291",Walking
"0.4201728105545044,0.7130924463272095,0.10724544525146484","-1.2189873456954956,0.5454251170158386,3.3973350524902344","-19.24216651916504,-20.57759666442871",Walking
"0.17186540365219116,0.8597025275230408,0.06290292739868164","-1.6371560096740723,0.47729986906051636,3.9569215774536133","-19.24216651916504,-22.68837547302246",Walking
"0.059815287590026855,0.9016025066375732,0.020014524459838867","-1.7977313995361328,0.48285308480262756,4.282583713531494","-19.24216651916504,-23.565597534179688",Walking
"-0.2039724588394165,0.8904218077659607,-0.08956420421600342","-1.9273029565811157,0.41901925206184387,4.753475666046143","-19.24216651916504,-25.57359504699707",Walking
"-0.4604083299636841,0.7060278654098511,-0.19321858882904053","-1.5244848728179932,0.2720116972923279,4.512582778930664","-19.24216651916504,-26.629615783691406",Walking
"-0.5423318147659302,0.5814390182495117,-0.22473299503326416","-1.229735016822815,0.23980501294136047,4.214763641357422","-19.24216651916504,-28.603328704833984",Walking
"-0.6465904116630554,0.3341171145439148,-0.2550830841064453","-0.7557095885276794,0.3147634267807007,3.40801739692688","-19.24216651916504,-29.276662826538086",Walking
"-0.6859267950057983,0.15361779928207397,-0.2591665983200073","-0.3936672508716583,0.5481293201446533,2.370845079421997","-19.24216651916504,-30.03378677368164",Walking
"-0.6515396237373352,0.06683403253555298,-0.24717164039611816","-0.28506994247436523,0.69915771484375,1.8765850067138672","-19.24216651916504,-31.735519409179688",Walking
"-0.5370813608169556,-0.06623703241348267,-0.22831475734710693","-0.2553038001060486,0.9823811650276184,1.2231144905090332","-19.24216651916504,-32.57939147949219",Walking
"-0.44552379846572876,-0.18230992555618286,-0.24127554893493652","-0.2050374150276184,0.9249452948570251,0.9154042601585388","-19.24216651916504,-34.32042694091797",Walking
"-0.4254611134529114,-0.23152649402618408,-0.251690149307251","-0.11044593155384064,0.6971736550331116,0.7880305647850037","-19.24216651916504,-35.1986083984375",Walking
"-0.4179997146129608,-0.27239227294921875,-0.24999487400054932","0.11105210334062576,0.02417632006108761,0.5042984485626221","-19.24216651916504,-36.12870407104492",Walking
"-0.42595773935317993,-0.2975114583969116,-0.2726747989654541","0.2537301480770111,-0.6632228493690491,0.2793380618095398","-19.24216651916504,-36.87297058105469",Walking
"-0.44570478796958923,-0.29927563667297363,-0.286594033241272","0.38806504011154175,-0.9082000851631165,0.13557957112789154","-19.24216651916504,-28.439983367919922",Walking
"-0.47379258275032043,-0.25154924392700195,-0.2935737371444702","0.678341269493103,-1.2038722038269043,-0.2352699488401413","-19.24216651916504,-25.883174896240234",Walking
"-0.49059587717056274,-0.18306028842926025,-0.26715052127838135","0.9884912967681885,-1.3592778444290161,-0.645280659198761","-19.24216651916504,-26.196998596191406",Walking
"-0.5171312093734741,-0.12844520807266235,-0.23688697814941406","1.1261041164398193,-1.4316539764404297,-0.9366176724433899","-19.24216651916504,-27.51336097717285",Walking
"-0.5803886651992798,-0.027586698532104492,-0.17116832733154297","1.4354678392410278,-1.5290915966033936,-1.4389580488204956","-19.24216651916504,-28.114999771118164",Walking
"-0.749883770942688,0.0809640884399414,-0.1496310830116272","1.4065059423446655,-1.6803431510925293,-2.1137709617614746","-19.24216651916504,-29.98435401916504",Walking
"-0.7933361530303955,0.1509171724319458,-0.14436596632003784","1.3957436084747314,-1.7315232753753662,-2.7868764400482178","-19.24216651916504,-30.808012008666992",Walking
"-0.6945611238479614,0.4001121520996094,-0.07833421230316162","1.3532243967056274,-1.416014313697815,-4.064727306365967","-19.24216651916504,-31.020401000976562",Walking
"-0.5488220453262329,0.6500042676925659,0.005190610885620117","1.2481509447097778,-0.966886043548584,-4.617710590362549","-19.24216651916504,-26.462799072265625",Walking
"-0.4587973356246948,0.7391197085380554,0.029349207878112793","0.9467955827713013,-0.8687469363212585,-4.8291707038879395","-19.24216651916504,-27.16602897644043",Walking
"-0.16562533378601074,0.8544924259185791,-0.009671986103057861","0.23834386467933655,-0.7001837491989136,-4.953163146972656","-19.24216651916504,-19.24216651916504",Walking
"0.2192068099975586,0.8275444507598877,-0.07497626543045044","-0.060932327061891556,-0.3122064769268036,-4.470878601074219","-19.24216651916504,-19.660964965820312",Walking
"0.3665538430213928,0.8066082000732422,-0.07930207252502441","-0.05236627161502838,-0.03181184455752373,-4.08369779586792","-19.79944610595703,-20.94283103942871",Walking
"0.6170791387557983,0.7702785134315491,-0.03667730093002319","-0.01804931089282036,0.5315228700637817,-3.2406973838806152","-20.356725692749023,-21.80518341064453",Walking
"0.7951404452323914,0.7237910032272339,-0.010644853115081787","-0.0641677975654602,0.7691195011138916,-2.2395105361938477","-21.292232513427734,-22.152063369750977",Walking
"0.8340754508972168,0.7147092223167419,-0.012921512126922607","-0.030918503180146217,0.671218991279602,-1.7274709939956665","-21.292232513427734,-22.816091537475586",Walking
"0.8703193664550781,0.7189461588859558,0.0011416077613830566","0.18792729079723358,0.27676331996917725,-0.7595696449279785","-21.292232513427734,-23.860322952270508",Walking
"0.8556163907051086,0.7149204611778259,0.03703594207763672","0.3120521605014801,-0.14374610781669617,0.10770578682422638","-21.292232513427734,-25.689332962036133",Walking
"0.8410947322845459,0.7134803533554077,0.06251943111419678","0.2699534595012665,-0.2496909201145172,0.5096641778945923","-21.292232513427734,-25.802648544311523",Walking
"0.8095716834068298,0.7403637170791626,0.10354053974151611","-0.13544118404388428,-0.13587327301502228,1.3813050985336304","-20.159765243530273,-22.316932678222656",Walking
"0.6970952153205872,0.7843684554100037,0.07219171524047852","-0.6530944108963013,-0.10877666622400284,2.481653928756714","-20.159765243530273,-23.260507583618164",Walking
"0.5925530791282654,0.7992708683013916,0.028332650661468506","-0.7714905738830566,-0.17924338579177856,2.9174909591674805","-20.159765243530273,-25.14613914489746",Walking
"0.3885400891304016,0.8115444183349609,-0.015725433826446533","-0.7378381490707397,-0.15116088092327118,3.4820895195007324","-20.159765243530273,-26.16923713684082",Walking
"0.22463488578796387,0.8632877469062805,0.006079614162445068","-0.6964850425720215,0.08885598182678223,3.890350103378296","-20.159765243530273,-27.115917205810547",Walking
"0.12387996912002563,0.9197413921356201,0.02032637596130371","-0.7408612966537476,0.19183188676834106,4.161491394042969","-20.159765243530273,-27.52086639404297",Walking
"-0.14848995208740234,0.9678404927253723,0.019845545291900635","-0.9127672910690308,0.1726214438676834,4.606856346130371","-20.159765243530273,-27.64068603515625",Walking
"-0.4331957697868347,0.8664603233337402,-0.03612643480300903","-0.9862908124923706,-0.00046803802251815796,4.6614766120910645","-20.159765243530273,-28.55044937133789",Walking
"-0.5669876337051392,0.7632326483726501,-0.07556945085525513","-0.9204838275909424,-0.060999028384685516,4.537843227386475","-20.159765243530273,-27.784650802612305",Walking
"-0.7450974583625793,0.4861541986465454,-0.14909815788269043","-0.5743844509124756,-0.04946594312787056,3.9358954429626465","-20.159765243530273,-20.218814849853516",Walking
"-0.8081175088882446,0.22638165950775146,-0.16105294227600098","0.07146379351615906,-0.004927234724164009,2.9128410816192627","-20.159765243530273,-20.9960994720459",Walking
"-0.7790447473526001,0.03918623924255371,-0.09704971313476562","0.49876639246940613,0.16157838702201843,2.090860605239868","-20.159765243530273,-23.064115524291992",Walking
"-0.759407103061676,-0.06926387548446655,-0.05788290500640869","0.5115988254547119,0.3188881278038025,1.7212351560592651","-20.159765243530273,-23.953338623046875",Walking
"-0.6882762908935547,-0.28441572189331055,-0.01309812068939209","0.26088273525238037,0.671005368232727,1.1143879890441895","-20.159765243530273,-24.97515296936035",Walking
"-0.6309560537338257,-0.4554610252380371,-0.0277174711227417","0.23439064621925354,0.5807002186775208,0.6443816423416138","-20.159765243530273,-26.911483764648438",Walking
"-0.6042813062667847,-0.49929267168045044,-0.027137815952301025","0.34421223402023315,0.30649426579475403,0.4203065037727356","-20.159765243530273,-27.809755325317383",Walking
"-0.5955600142478943,-0.4656088352203369,0.0067174434661865234","0.5098038911819458,-0.5685235261917114,0.0024948641657829285","-20.159765243530273,-29.973281860351562",Walking
"-0.6428266763687134,-0.2888830900192261,0.04611825942993164","0.23746740818023682,-1.4114773273468018,-0.3397969603538513","-20.159765243530273,-31.018930435180664",Walking
"-0.6813815832138062,-0.22486060857772827,0.013328254222869873","-0.004076244775205851,-1.7144869565963745,-0.4941122233867645","-20.159765243530273,-33.05677032470703",Walking
"-0.7610098719596863,-0.17977875471115112,-0.0941430926322937","-0.14487917721271515,-2.111255407333374,-1.1271946430206299","-20.159765243530273,-34.07646942138672",Walking
"-0.8305792808532715,-0.04403620958328247,-0.10998034477233887","-0.14827017486095428,-1.559852123260498,-2.141068696975708","-20.159765243530273,-34.65481185913086",Walking
"-0.8082007169723511,0.11415433883666992,-0.09567058086395264","-0.36497822403907776,-0.9733858108520508,-2.7244713306427","-20.159765243530273,-29.7138614654541",Walking
"-0.657253623008728,0.3965202569961548,-0.13544654846191406","-0.4850252866744995,-0.09635358303785324,-3.632293939590454","-20.159765243530273,-30.453092575073242",Walking
"-0.5954602360725403,0.5749565362930298,-0.12610137462615967","-0.25288525223731995,-0.16564369201660156,-4.411719799041748","-20.159765243530273,-31.179702758789062",Walking
"-0.5632267594337463,0.6834431886672974,-0.10547065734863281","-0.31086254119873047,-0.2950759828090668,-4.847723007202148","-20.159765243530273,-25.14514923095703",Walking
"-0.312436580657959,0.9024609327316284,-0.13798236846923828","-0.3133544623851776,-0.1768880933523178,-5.343414306640625","-20.159765243530273,-20.74810218811035",Walking
"0.08726894855499268,0.9147894382476807,-0.1443406343460083","0.07448673993349075,0.00013114744797348976,-5.041748046875","-14.981369972229004,-18.938411712646484",Walking
"0.2608153223991394,0.8694485425949097,-0.12244904041290283","0.2805778682231903,0.02249584160745144,-4.660490989685059","-14.981369972229004,-19.688823699951172",Walking
"0.4948851466178894,0.7633660435676575,-0.07495427131652832","0.6060931086540222,0.023572824895381927,-3.589033603668213","-14.981369972229004,-21.20479393005371",Walking
"0.6298087239265442,0.6695152521133423,-0.015500903129577637","0.6319353580474854,-0.06988389045000076,-2.5555927753448486","-14.981369972229004,-22.129606246948242",Walking
"0.6725907921791077,0.6215857863426208,-0.016201496124267578","0.5206344127655029,-0.10077975690364838,-2.091071367263794","-14.981369972229004,-23.50385856628418",Walking
"0.7213276028633118,0.6009442806243896,-0.028651833534240723","0.4500172436237335,-0.06864498555660248,-1.2544639110565186","-14.981369972229004,-23.226064682006836",Walking
"0.757881224155426,0.5717905759811401,-0.021700620651245117","0.5078874826431274,-0.060866959393024445,-0.3655337393283844","-14.981369972229004,-23.13692855834961",Walking
"0.7509770393371582,0.5523967742919922,-0.008318781852722168","0.5380498766899109,-0.07728907465934753,0.06680168211460114","-14.981369972229004,-23.986852645874023",Walking
"0.6965414881706238,0.52857506275177,0.018841266632080078","0.5330647230148315,-0.11625645309686661,0.7916033267974854","-14.981369972229004,-23.89876365661621",Walking
"0.6564783453941345,0.5044193863868713,0.06275546550750732","0.46477168798446655,-0.042577967047691345,1.4665751457214355","-14.981369972229004,-24.652755737304688",Walking
"0.6202863454818726,0.509310245513916,0.0839914083480835","0.360734224319458,-0.018974369391798973,1.7982995510101318","-14.981369972229004,-25.395748138427734",Walking
"0.5164544582366943,0.5332516431808472,0.11078262329101562","0.06355579197406769,-0.01877197064459324,2.415858745574951","-14.981369972229004,-27.262863159179688",Walking
"0.37078189849853516,0.5937000513076782,0.10961604118347168","-0.21695709228515625,-0.0200476236641407,3.138413906097412","-14.981369972229004,-27.866209030151367",Walking
"0.2718299627304077,0.6152476072311401,0.10321927070617676","-0.28483518958091736,0.0057003493420779705,3.481351137161255","-14.981369972229004,-29.101003646850586",Walking
"0.064441978931427,0.6371473073959351,0.08308768272399902","-0.43408405780792236,0.10506235808134079,3.9914157390594482","-14.981369972229004,-29.790992736816406",Walking
"-0.1377517580986023,0.6379585862159729,0.044327497482299805","-0.4165298342704773,0.16205666959285736,4.412360668182373","-14.981369972229004,-29.399520874023438",Walking
"-0.2589762806892395,0.6303406953811646,0.013339400291442871","-0.33317211270332336,0.14689955115318298,4.559061527252197","-14.981369972229004,-30.264724731445312",Walking
"-0.5237305164337158,0.4597820043563843,0.0005528926849365234","-0.14203934371471405,0.14419105648994446,4.186814308166504","-14.981369972229004,-28.73462677001953",Walking
"-0.6337746381759644,0.26596981287002563,-0.004665017127990723","-0.3502655327320099,0.4459005892276764,3.36934494972229","-14.981369972229004,-30.420705795288086",Walking
"-0.6504321098327637,0.16902339458465576,-0.035914063453674316","-0.5362241864204407,0.7186093926429749,3.0130374431610107","-14.981369972229004,-30.90138816833496",Walking
"-0.654904842376709,0.029832959175109863,-0.12827277183532715","-0.6950098872184753,1.1446235179901123,2.3300962448120117","-14.981369972229004,-32.27790069580078",Walking
"-0.6252535581588745,-0.08252626657485962,-0.1965259313583374","-0.5234509110450745,1.2205363512039185,1.7614240646362305","-14.981369972229004,-33.10843276977539",Walking
"-0.6148295402526855,-0.13860738277435303,-0.206490159034729","-0.3797941207885742,1.1493815183639526,1.4958184957504272","-14.981369972229004,-35.113216400146484",Walking
"-0.5984678864479065,-0.24624675512313843,-0.20590627193450928","-0.09558769315481186,0.8121199011802673,0.9488286375999451","-14.981369972229004,-35.97300720214844",Walking
"-0.5799869894981384,-0.29982393980026245,-0.18709099292755127","0.008117131888866425,0.39893680810928345,0.47234654426574707","-14.981369972229004,-36.97676467895508",Walking
"-0.571891188621521,-0.3162975311279297,-0.18801259994506836","0.015928715467453003,0.19223769009113312,0.2890219986438751","-14.981369972229004,-38.9587287902832",Walking
"-0.6080065965652466,-0.3166043758392334,-0.1958550214767456","0.14613279700279236,-0.1623142808675766,-0.17037542164325714","-14.981369972229004,-39.67235565185547",Walking
"-0.6257901787757874,-0.2768600583076477,-0.13885164260864258","0.3151873052120209,-0.2001013308763504,-0.8686733245849609","-14.981369972229004,-40.8453483581543",Walking
"-0.6158750653266907,-0.23925960063934326,-0.09480428695678711","0.3032161295413971,-0.04051459953188896,-1.2215858697891235","-15.53864860534668,-41.48176193237305",Walking
"-0.5661338567733765,-0.060819655656814575,-0.0387229323387146","0.5673168301582336,0.2863062918186188,-1.0019032955169678","-35.899288177490234,-41.5317268371582",Setting
"-0.30058878660202026,-0.07260565459728241,0.06854474544525146","0.08763596415519714,1.4809699058532715,-1.618085265159607","-36.4177360534668,-42.41386032104492",Setting
"-0.2448102831840515,-0.09695658087730408,0.17969805002212524","-0.20102459192276,1.768136978149414,-2.5638344287872314","-36.4177360534668,-37.84366226196289",Setting
"-0.24208027124404907,-0.09729765355587006,0.30567222833633423","-0.4772767126560211,2.040668487548828,-2.8049983978271484","-36.4177360534668,-38.59060287475586",Setting
"-0.18953168392181396,-0.08511126041412354,0.31261956691741943","-1.309004545211792,2.070302963256836,-2.378391981124878","-36.4177360534668,-39.189239501953125",Setting
"-0.11397159099578857,-0.20728802680969238,0.2889796495437622","-1.3787610530853271,0.8463754653930664,-2.636964797973633","-36.4177360534668,-40.26072692871094",Setting
"-0.10417383909225464,-0.12151682376861572,0.3237578868865967","-1.3033496141433716,0.6217144131660461,-2.617161512374878","-34.375736236572266,-40.57889175415039",Setting
"0.07459050416946411,0.03302031755447388,0.2771996259689331","-1.3720370531082153,0.07441827654838562,-2.469001293182373","-34.375736236572266,-39.7163200378418",Setting
"0.19598352909088135,0.10717079043388367,0.2332531213760376","-1.7078462839126587,-0.9619673490524292,-2.1119320392608643","-34.375736236572266,-40.271644592285156",Setting
"0.2552652359008789,0.21383309364318848,0.15934115648269653","-1.9101144075393677,-1.3114944696426392,-1.875245451927185","-34.375736236572266,-41.214778900146484",Setting
"0.3862295150756836,0.24642783403396606,-0.18942701816558838","-0.7241354584693909,-2.744802951812744,-0.6109310388565063","-34.375736236572266,-41.903106689453125",Setting
"0.39319950342178345,0.22184771299362183,-0.26728129386901855","0.28279799222946167,-3.6151537895202637,0.7258437275886536","-34.375736236572266,-43.41316604614258",Setting
"0.2620776891708374,0.19568365812301636,-0.2994309663772583","0.5108340978622437,-3.4386496543884277,1.0732169151306152","-34.375736236572266,-44.047393798828125",Setting
"0.04938769340515137,0.040141135454177856,-0.20008832216262817","0.49189332127571106,-1.706426978111267,1.2061336040496826","-34.375736236572266,-44.90729904174805",Setting
"-0.1120724081993103,-0.04318201541900635,-0.04892021417617798","-0.30420249700546265,0.4125709533691406,0.19826674461364746","-34.375736236572266,-35.89902877807617",Setting
"-0.1856909990310669,0.012674808502197266,-0.05734628438949585","-0.6723520159721375,1.1434446573257446,-0.32001423835754395","-34.375736236572266,-36.69302749633789",Setting
"-0.05661332607269287,0.03705582022666931,-0.07566392421722412","-0.5067020654678345,1.80398690700531,-0.22064104676246643","-34.375736236572266,-38.537391662597656",Setting
"-0.03362929821014404,0.14101457595825195,0.045795321464538574","0.09025081247091293,1.5284013748168945,-0.3732987642288208","-34.375736236572266,-39.55752944946289",Setting
"-0.007976293563842773,0.24376654624938965,0.1297605037689209","0.14255662262439728,1.1879881620407104,-0.3113483190536499","-34.375736236572266,-41.22200393676758",Setting
"0.007050752639770508,0.4491649270057678,0.14291030168533325","-0.2003818303346634,0.2557411193847656,0.17633827030658722","-34.375736236572266,-41.72277069091797",Setting
"0.08640581369400024,0.23091846704483032,0.09505969285964966","0.296176016330719,0.12323661148548126,0.5555436015129089","-34.375736236572266,-42.50004959106445",Setting
"0.04452180862426758,0.18085891008377075,0.10306507349014282","0.1411544680595398,0.0292387492954731,0.6361777186393738","-34.375736236572266,-43.27742385864258",Setting
"-0.2722892761230469,0.0937955379486084,0.015800833702087402","-0.11265196651220322,0.2872079610824585,0.618817150592804","-34.375736236572266,-44.024696350097656",Setting
"-0.4402577877044678,0.036496639251708984,0.0856202244758606","-0.8302364349365234,1.0733230113983154,0.489287406206131","-32.939125061035156,-39.58907699584961",Setting
"-0.16167783737182617,-0.016701340675354004,0.12187057733535767","-0.698620617389679,0.637962818145752,0.3778170645236969","-32.939125061035156,-40.1703987121582",Setting
"-0.02137148380279541,-0.08508852124214172,0.06859695911407471","-0.43984073400497437,-0.2558979392051697,0.6925461888313293","-32.939125061035156,-41.37957000732422",Setting
"-0.0549006462097168,-0.12581974267959595,0.056792378425598145","0.329876184463501,0.44990047812461853,0.5291751027107239","-32.939125061035156,-42.07933807373047",Setting
"-0.021847963333129883,-0.10569426417350769,0.12290060520172119","0.5613986253738403,1.0356441736221313,0.2741689682006836","-32.939125061035156,-42.914066314697266",Setting
"-0.14361190795898438,-0.0023712515830993652,-0.017814159393310547","-0.615230917930603,0.9070624709129333,-0.14116059243679047","-32.939125061035156,-40.60321807861328",Setting
"-0.10813915729522705,0.028238892555236816,-0.09996283054351807","-0.2331719994544983,1.606079339981079,-0.4609721601009369","-32.939125061035156,-38.157588958740234",Setting
"-0.029019653797149658,-0.010285347700119019,-0.05971682071685791","-0.08208979666233063,1.3537757396697998,-0.580916702747345","-29.65636444091797,-31.52553367614746",Setting
"0.054608702659606934,-0.027997374534606934,0.13569796085357666","-0.19299235939979553,0.7730932235717773,-0.9963772892951965","-29.65636444091797,-32.44257736206055",Setting
"0.09884011745452881,0.06424152851104736,0.1778004765510559","-0.16768327355384827,0.6688219308853149,-0.9781676530838013","-29.65636444091797,-34.21753692626953",Setting
"0.1169360876083374,0.0776485800743103,0.19177627563476562","-0.18155114352703094,0.7097009420394897,-0.75208979845047","-29.65636444091797,-34.92670440673828",Setting
"0.14568161964416504,0.04485112428665161,0.17678964138031006","-0.40086829662323,0.3164190948009491,-0.3700028359889984","-29.65636444091797,-36.911460876464844",Setting
"0.08028644323348999,0.009115397930145264,0.14646726846694946","-0.4528353810310364,0.4408547878265381,-0.24019822478294373","-29.65636444091797,-37.924095153808594",Setting
"0.11262613534927368,0.004573613405227661,0.16511690616607666","-0.756061851978302,0.6360975503921509,-0.09006625413894653","-29.65636444091797,-38.76013946533203",Setting
"0.08672988414764404,-0.022771626710891724,0.30364590883255005","-1.9541916847229004,2.054053544998169,0.552169919013977","-29.65636444091797,-40.63861083984375",Setting
"-0.13815581798553467,0.04999007284641266,-0.14823395013809204","-4.083568572998047,4.485532760620117,0.7768715023994446","-29.65636444091797,-36.25944900512695",Setting
"-0.14569970965385437,0.04414182901382446,-0.5388303995132446","-2.6354362964630127,2.9615213871002197,0.426607221364975","-29.232324600219727,-36.917198181152344",Setting
"0.08249285817146301,0.17954789102077484,-0.3085118532180786","0.2673448920249939,0.5649959444999695,0.19933094084262848","-29.232324600219727,-37.41793441772461",Setting
"0.16294825077056885,0.1250743418931961,-0.03930532932281494","0.7334092855453491,-0.3837467133998871,-0.018960921093821526","-29.232324600219727,-39.36130142211914",Setting
"0.15168210864067078,0.12160500884056091,0.004010319709777832","0.4830138087272644,-0.2271549552679062,0.0948263630270958","-29.232324600219727,-40.21352005004883",Setting
"0.0235157310962677,0.061932072043418884,-0.009791672229766846","0.3428075611591339,-0.19330352544784546,0.19081677496433258","-29.232324600219727,-41.11162185668945",Setting
"-0.01760941743850708,0.008918143808841705,-0.014384806156158447","0.5749278664588928,-0.19972866773605347,0.24242563545703888","-29.232324600219727,-42.652584075927734",Setting
"-0.030673623085021973,-0.003616444766521454,0.014586329460144043","0.6246458888053894,-0.2858600914478302,0.272629052400589","-29.232324600219727,-43.56071472167969",Setting
"-0.04895651340484619,-0.032676681876182556,0.02110743522644043","0.5562785863876343,-0.3528497815132141,0.26993927359580994","-29.232324600219727,-44.74916076660156",Setting
"-0.028635740280151367,-0.017857268452644348,0.039839208126068115","0.4733661115169525,-0.30390673875808716,0.24377532303333282","-29.232324600219727,-45.16919708251953",Setting
"-0.0122394859790802,-0.0010432302951812744,0.02063310146331787","0.4405900537967682,-0.2555927336215973,0.29745185375213623","-29.232324600219727,-45.785728454589844",Setting
"0.015849381685256958,0.04355379939079285,-0.042115747928619385","0.5466629266738892,-0.40560275316238403,0.3428395688533783","-29.232324600219727,-46.52443313598633",Setting
"0.018021047115325928,0.04059898853302002,-0.01431882381439209","0.7001691460609436,-0.44240602850914,0.2876812517642975","-29.232324600219727,-47.96095275878906",Setting
"0.017917931079864502,0.030169248580932617,0.001349329948425293","0.7278106212615967,-0.3859406113624573,0.29945454001426697","-29.232324600219727,-48.56919860839844",Setting
"-0.026271700859069824,0.04900670051574707,-0.030317246913909912","0.9986344575881958,-0.39254099130630493,0.3334748446941376","-29.232324600219727,-49.084129333496094",Setting
"-0.02225935459136963,0.028364181518554688,0.0626450777053833","0.8974800705909729,-0.33820557594299316,0.31341272592544556","-29.232324600219727,-46.75771713256836",Setting
"-0.03178712725639343,-0.004292666912078857,0.07628899812698364","0.7244617342948914,-0.2894313931465149,0.2388783097267151","-29.232324600219727,-47.05508041381836",Setting
"-0.037532150745391846,-0.06082063913345337,0.09323251247406006","0.3739532232284546,-0.24281595647335052,-0.048835769295692444","-29.232324600219727,-47.95819091796875",Setting
"-0.018305569887161255,-0.021860331296920776,0.12053912878036499","-0.1766044646501541,0.010211513377726078,-0.0802173912525177","-29.232324600219727,-48.65081787109375",Setting
"-0.021960854530334473,0.002708256244659424,0.09311491250991821","-0.37718096375465393,0.16108757257461548,-0.014806961640715599","-29.232324600219727,-50.28330612182617",Setting
"-0.03314119577407837,0.008241653442382812,0.0533144474029541","-0.631405234336853,0.34788596630096436,-0.0060249213129282","-29.232324600219727,-50.688411712646484",Setting
"-0.011806786060333252,-0.005341053009033203,0.06313920021057129","-0.8827913999557495,0.4587389826774597,-0.050104498863220215","-29.232324600219727,-50.75642395019531",Setting
"-0.0032827556133270264,-0.0047935545444488525,0.07858669757843018","-1.0924136638641357,0.5337495803833008,-0.02811530977487564","-29.232324600219727,-51.531646728515625",Setting
"-0.024265706539154053,0.0013202875852584839,0.06860339641571045","-1.4805887937545776,0.6810634136199951,-0.06594604253768921","-29.232324600219727,-52.235008239746094",Setting
"-0.04426035284996033,0.012361429631710052,-0.041269779205322266","-1.4695771932601929,0.8811339139938354,-0.08000966906547546","-29.232324600219727,-53.352474212646484",Setting
"-0.024877190589904785,0.021866701543331146,-0.08495235443115234","-1.1023274660110474,0.7645423412322998,-0.07156318426132202","-29.232324600219727,-53.8421745300293",Setting
"0.030085265636444092,0.02697807550430298,-0.06454956531524658","-0.4476886987686157,0.37799832224845886,-0.0793694406747818","-29.232324600219727,-54.71906280517578",Setting
"0.034305065870285034,0.03082430362701416,-0.03273695707321167","-0.16852229833602905,0.07693061977624893,0.030583955347537994","-29.232324600219727,-55.228153228759766",Setting
"0.013784170150756836,0.027011677622795105,-0.018362760543823242","-0.04394548013806343,-0.01255531795322895,0.05444907397031784","-29.78960418701172,-50.886756896972656",Setting
"-0.013841331005096436,0.012342840433120728,0.01139897108078003","0.07445865869522095,-0.07231611758470535,0.06305108219385147","-30.346881866455078,-51.077842712402344",Setting
"-0.024515420198440552,0.005426377058029175,0.024027645587921143","0.023674309253692627,-0.02452729269862175,0.030963189899921417","-30.90416145324707,-51.46282958984375",Setting
"-0.019255340099334717,0.003068491816520691,0.022647857666015625","-0.00717814639210701,0.010613651014864445,0.023842962458729744","-32.01871871948242,-47.08690643310547",Setting
"-0.01615774631500244,0.008594125509262085,0.015088856220245361","-0.027310578152537346,0.03932945057749748,0.013721885159611702","-32.57600021362305,-47.81465148925781",Setting
"-0.009064674377441406,0.011113286018371582,-0.026307523250579834","0.05173363909125328,-0.03854883462190628,0.010106377303600311","-33.690555572509766,-47.664424896240234",Setting
"-0.01894843578338623,0.019355028867721558,-0.0473628044128418","0.3463919162750244,-0.1449730098247528,0.09113891422748566","-34.247833251953125,-48.10604476928711",Setting
"-0.006537795066833496,0.06342384219169617,-0.11111503839492798","1.3350757360458374,-0.6025019884109497,0.550520658493042","-35.36239242553711,-48.875694274902344",Setting
"0.06113192439079285,0.05187826603651047,-0.029753386974334717","1.5635243654251099,-0.7402012348175049,0.5538336634635925","-35.91967010498047,-48.94709014892578",Setting
"0.060115814208984375,-0.02460116147994995,0.10384029150009155","0.9993890523910522,-0.5186656713485718,0.42414620518684387","-36.476951599121094,-49.38727569580078",Setting
"0.02469867467880249,-0.03755533695220947,0.12038576602935791","0.6379728317260742,-0.33094584941864014,0.38429468870162964","-37.59150695800781,-46.419151306152344",Setting
"-0.032380640506744385,-0.0005567669868469238,0.05309092998504639","0.29831433296203613,-0.022598667070269585,0.39735907316207886","-38.14878845214844,-47.107601165771484",Setting
"-0.0570409893989563,0.004134342074394226,0.035962462425231934","0.1789802461862564,0.011632539331912994,0.2275431603193283","-39.263343811035156,-48.60179901123047",Setting
"-0.05787724256515503,-0.003324151039123535,0.043388307094573975","0.08812383562326431,-0.004076383076608181,0.08094679564237595","-39.82062530517578,-49.489097595214844",Setting
"-0.026126176118850708,0.018947899341583252,0.042975664138793945","-0.1069047749042511,0.09353592246770859,-0.020977703854441643","-40.9351806640625,-45.905235290527344",Setting
