accel,gyro,miclevel,Label
"-1.342345118522644,-0.3685951232910156,-0.40038490295410156","1.5853995084762573,-3.0276238918304443,-1.2969131469726562","-13.08756160736084,-20.622806549072266",Walking
"-1.3456076383590698,-0.3067343235015869,-0.39112329483032227","1.5959291458129883,-3.37654709815979,-1.9034874439239502","-13.08756160736084,-20.76337242126465",Walking
"-1.1665120124816895,-0.07557862997055054,-0.3706095218658447","0.9620572924613953,-2.4520163536071777,-3.3323190212249756","-9.53295612335205,-20.014400482177734",Walking
"-0.8732118606567383,0.268939733505249,-0.6290357112884521","0.34107983112335205,-1.2991094589233398,-3.8541345596313477","-9.53295612335205,-20.026901245117188",Walking
"-0.7675187587738037,0.41265130043029785,-0.8152713775634766","0.9822409152984619,-1.3209750652313232,-3.9491305351257324","-7.191664218902588,-7.965351104736328",Walking
"-0.6225898861885071,0.6639862060546875,-0.8720889687538147","2.964962959289551,-1.640476107597351,-4.129922389984131","-7.191664218902588,-8.924524307250977",Walking
"-0.5122328996658325,0.701376736164093,-0.7129802703857422","3.24951171875,-1.5138881206512451,-4.078462600708008","-7.191664218902588,-10.23585319519043",Walking
"-0.45922261476516724,0.669579803943634,-0.6315555572509766","3.149538040161133,-0.8237432241439819,-4.077317237854004","-7.191664218902588,-11.125202178955078",Walking
"-0.22019857168197632,0.884802520275116,-0.5359228849411011","3.2881627082824707,-0.6464715003967285,-4.1277875900268555","-7.191664218902588,-12.094559669494629",Walking
"0.018277764320373535,0.7679932713508606,-0.4432719945907593","3.242044687271118,-0.7191156148910522,-3.5166501998901367","-7.191664218902588,-14.119834899902344",Walking
"0.0643538236618042,0.6894566416740417,-0.323025107383728","3.1463987827301025,-0.2506367862224579,-3.3792247772216797","-7.191664218902588,-15.217146873474121",Walking
"0.2959408760070801,0.6483978033065796,-0.12178826332092285","2.927825689315796,0.04656819626688957,-3.083214282989502","-7.191664218902588,-16.962167739868164",Walking
"0.4563997983932495,0.612418532371521,-0.03515613079071045","2.3663458824157715,-0.44747427105903625,-2.2299489974975586","-7.191664218902588,-17.825489044189453",Walking
"0.4395567774772644,0.5969864130020142,0.00016796588897705078","1.9835147857666016,-0.38130590319633484,-1.9710909128189087","-7.191664218902588,-19.86284828186035",Walking
"0.47569477558135986,0.6514994502067566,0.06916213035583496","1.2396901845932007,0.2941676080226898,-1.7625163793563843","-7.191664218902588,-20.965482711791992",Walking
"0.5970211029052734,0.749862790107727,0.11454451084136963","0.5466353893280029,0.8758717775344849,-1.2222856283187866","-7.191664218902588,-21.891868591308594",Walking
"0.6289262771606445,0.7990916967391968,0.13130241632461548","0.29076817631721497,0.9716331958770752,-0.801426351070404","-7.191664218902588,-23.964340209960938",Walking
"0.5475021600723267,0.980980396270752,0.19191569089889526","-0.04288623109459877,0.8247944712638855,0.12120874226093292","-7.191664218902588,-21.384923934936523",Walking
"0.4526810646057129,1.019539475440979,0.24345660209655762","-0.3961777091026306,0.7803287506103516,1.227723479270935","-7.191664218902588,-23.202560424804688",Walking
